index,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Platform_Unified
744,2010.0,Shooter,1.45,0.54,0.02,0.19,2.2,88.0,93.0,8.2,573.0,M,Microsoft
749,2014.0,Sports,1.54,0.25,0.0,0.4,2.19,81.0,37.0,6.1,208.0,E,Sony
750,2011.0,Action,0.34,0.96,0.55,0.33,2.19,80.0,41.0,6.6,132.0,E,Sony
754,2014.0,Sports,0.6,1.42,0.0,0.16,2.18,82.0,33.0,5.4,347.0,E,Microsoft
758,2016.0,Shooter,1.29,0.68,0.0,0.2,2.16,80.0,33.0,6.9,614.0,M,Microsoft
759,2010.0,Role-Playing,1.28,0.67,0.01,0.21,2.16,82.0,54.0,6.3,539.0,T,Microsoft
767,2016.0,Shooter,0.81,0.85,0.15,0.33,2.14,90.0,31.0,6.1,1358.0,T,Sony
768,2012.0,Action,0.59,1.05,0.07,0.44,2.14,83.0,30.0,7.5,511.0,M,Sony
780,2011.0,Sports,1.62,0.26,0.05,0.18,2.11,90.0,38.0,6.7,127.0,E,Sony
785,2013.0,Sports,1.44,0.31,0.04,0.32,2.11,84.0,26.0,4.9,142.0,E,Sony
790,2015.0,Shooter,0.71,0.94,0.14,0.32,2.1,73.0,46.0,5.0,845.0,M,Sony
791,2011.0,Fighting,1.63,0.31,0.0,0.16,2.1,86.0,66.0,8.3,382.0,M,Microsoft
795,2010.0,Action,1.84,0.12,0.01,0.13,2.09,89.0,50.0,8.1,100.0,E,Microsoft
797,2015.0,Action,0.96,0.67,0.12,0.34,2.09,74.0,58.0,7.9,1287.0,M,Sony
800,2010.0,Role-Playing,1.77,0.32,0.0,0.0,2.08,90.0,53.0,5.6,953.0,T,
808,2011.0,Shooter,1.41,0.49,0.01,0.17,2.08,95.0,66.0,8.5,997.0,E10+,Microsoft
809,2010.0,Sports,0.88,0.44,0.63,0.12,2.08,64.0,54.0,7.1,34.0,E,Nintendo
814,2014.0,Racing,0.36,1.38,0.02,0.31,2.07,71.0,85.0,6.1,1571.0,E,Sony
817,2010.0,Action,0.46,0.41,0.96,0.24,2.06,89.0,66.0,8.9,443.0,T,Sony
823,2010.0,Role-Playing,0.63,0.41,0.75,0.26,2.06,82.0,62.0,8.6,208.0,E10+,Sony
837,2011.0,Misc,1.45,0.41,0.01,0.16,2.04,86.0,56.0,8.2,63.0,T,Microsoft
845,2011.0,Role-Playing,0.75,0.51,0.54,0.22,2.02,89.0,54.0,8.7,1397.0,M,Sony
846,2011.0,Misc,1.47,0.39,0.0,0.16,2.02,70.0,34.0,7.7,17.0,E10+,Microsoft
847,2013.0,Shooter,1.25,0.58,0.0,0.19,2.02,81.0,5.0,6.6,480.0,M,Microsoft
848,2012.0,Role-Playing,0.9,0.45,0.54,0.13,2.01,92.0,72.0,9.1,1130.0,T,Nintendo
849,2011.0,Action,0.58,1.04,0.03,0.36,2.01,64.0,48.0,6.4,182.0,T,Sony
851,2014.0,Role-Playing,0.73,0.88,0.08,0.32,2.01,89.0,43.0,7.4,1984.0,M,Sony
860,2010.0,Sports,0.79,0.88,0.0,0.32,1.98,80.0,46.0,7.6,82.0,T,Sony
863,2013.0,Racing,0.73,0.92,0.03,0.3,1.98,80.0,53.0,6.2,667.0,E10+,Sony
871,2012.0,Racing,0.82,0.93,0.04,0.18,1.96,85.0,83.0,8.4,431.0,T,Microsoft
874,2012.0,Shooter,1.12,0.6,0.07,0.16,1.95,67.0,71.0,5.0,1407.0,M,Microsoft
884,2010.0,Simulation,0.73,0.89,0.02,0.3,1.94,78.0,39.0,6.4,55.0,T,Sony
890,2013.0,Shooter,1.22,0.54,0.02,0.16,1.93,93.0,33.0,8.5,1647.0,M,Microsoft
895,2015.0,Shooter,0.78,0.79,0.04,0.31,1.93,86.0,81.0,6.0,1079.0,T,Sony
901,2013.0,Misc,0.62,0.64,0.55,0.11,1.92,57.0,47.0,6.3,117.0,E,Nintendo
907,2013.0,Role-Playing,0.72,0.75,0.15,0.29,1.91,86.0,43.0,6.4,557.0,M,Sony
908,2014.0,Platform,0.66,0.93,0.01,0.31,1.91,79.0,78.0,7.1,506.0,E,Sony
915,2013.0,Action,1.15,0.56,0.0,0.17,1.88,74.0,46.0,7.5,685.0,T,Microsoft
921,2016.0,Sports,1.25,0.27,0.02,0.34,1.88,88.0,47.0,6.7,162.0,E,Sony
927,2013.0,Sports,1.6,0.03,0.0,0.24,1.87,76.0,19.0,4.1,91.0,E,Sony
938,2015.0,Action,0.47,1.03,0.07,0.28,1.86,73.0,42.0,6.5,403.0,M,Sony
943,2012.0,Shooter,0.59,0.89,0.06,0.3,1.85,87.0,31.0,7.8,790.0,M,Sony
